threads,run,integral,time_seconds,timestamp
2,4,5.500539,0.265737,2025-05-14T03:50:26.784977
2,5,5.500539,0.271026,2025-05-14T03:50:27.057344
2,1,5.500539,0.271487,2025-05-14T03:50:27.330217
2,2,5.500539,0.265191,2025-05-14T03:50:27.596831
2,3,5.500539,0.259259,2025-05-14T03:50:27.857815
2,4,5.500539,0.273259,2025-05-14T03:50:28.132575
2,5,5.500539,0.275273,2025-05-14T03:50:28.409193
2,1,5.500539,0.264797,2025-05-14T03:50:28.675297
2,2,5.500539,0.256704,2025-05-14T03:50:28.933294
2,3,5.500539,0.278398,2025-05-14T03:50:29.213142
2,4,5.500539,0.26765,2025-05-14T03:50:29.482433
2,5,5.500539,0.268671,2025-05-14T03:50:29.752687
2,1,5.500539,0.264757,2025-05-14T03:50:30.018786
2,2,5.500539,0.260471,2025-05-14T03:50:30.280755
2,3,5.500539,0.266103,2025-05-14T03:50:30.548324
2,4,5.500539,0.271546,2025-05-14T03:50:30.821211
2,5,5.500539,0.28006,2025-05-14T03:50:31.102723
3,1,5.500539,0.310765,2025-05-14T03:50:31.414823
3,2,5.500539,0.327835,2025-05-14T03:50:31.744071
3,3,5.500539,0.318168,2025-05-14T03:50:32.063603
3,4,5.500539,0.323603,2025-05-14T03:50:32.388462
3,5,5.500539,0.326933,2025-05-14T03:50:32.716601
3,1,5.500539,0.332562,2025-05-14T03:50:33.050745
3,2,5.500539,0.319612,2025-05-14T03:50:33.371835
3,3,5.500539,0.323841,2025-05-14T03:50:33.697275
3,4,5.500539,0.321154,2025-05-14T03:50:34.019707
3,5,5.500539,0.319521,2025-05-14T03:50:34.340615
3,1,5.500539,0.332794,2025-05-14T03:50:34.674892
3,2,5.500539,0.31304,2025-05-14T03:50:34.989522
3,3,5.500539,0.317203,2025-05-14T03:50:35.308127
3,4,5.500539,0.319633,2025-05-14T03:50:35.629114
3,5,5.500539,0.311401,2025-05-14T03:50:35.941982
4,1,5.500539,0.364646,2025-05-14T03:50:36.308228
4,2,5.500539,0.340744,2025-05-14T03:50:36.650357
4,3,5.500539,0.348679,2025-05-14T03:50:37.000274
4,4,5.500539,0.361816,2025-05-14T03:50:37.363273
4,5,5.500539,0.346891,2025-05-14T03:50:37.711645
4,1,5.500539,0.366027,2025-05-14T03:50:38.079066
4,2,5.500539,0.352498,2025-05-14T03:50:38.432986
4,3,5.500539,0.353748,2025-05-14T03:50:38.788087
4,4,5.500539,0.359217,2025-05-14T03:50:39.148659
4,5,5.500539,0.34711,2025-05-14T03:50:39.497242
5,1,5.500539,0.407811,2025-05-14T03:50:39.906235
5,2,5.500539,0.410017,2025-05-14T03:50:40.317797
5,3,5.500539,0.340481,2025-05-14T03:50:40.659752
5,4,5.500539,0.421962,2025-05-14T03:50:41.083193
5,5,5.500539,0.325773,2025-05-14T03:50:41.410273
5,1,5.500539,0.415463,2025-05-14T03:50:41.827277
5,2,5.500539,0.345172,2025-05-14T03:50:42.173801
5,3,5.500539,0.414744,2025-05-14T03:50:42.589911
5,4,5.500539,0.409283,2025-05-14T03:50:43.000385
5,5,5.500539,0.413028,2025-05-14T03:50:43.414776
6,1,5.500539,0.400292,2025-05-14T03:50:43.816348
6,2,5.500539,0.300268,2025-05-14T03:50:44.118217
6,3,5.500539,0.403509,2025-05-14T03:50:44.523177
6,4,5.500539,0.398531,2025-05-14T03:50:44.923019
6,5,5.500539,0.397696,2025-05-14T03:50:45.322020
7,1,5.500539,0.353521,2025-05-14T03:50:45.676904
7,2,5.500539,0.344205,2025-05-14T03:50:46.022597
7,3,5.500539,0.291424,2025-05-14T03:50:46.315248
